date,day,evening
2025-03-12,Wednesday,="7371"
2025-03-13,Thursday,="1531"
2025-03-14,Friday,="1973"
2025-03-15,Saturday,="5800"
2025-03-16,Sunday,="7724"
2025-03-17,Monday,="0549"
2025-03-18,Tuesday,="2654"
2025-03-19,Wednesday,="0231"
2025-03-20,Thursday,="9447"
2025-03-21,Friday,="0375"
2025-03-22,Saturday,="2939"
2025-03-23,Sunday,="8605"
2025-03-24,Monday,="7144"
2025-03-25,Tuesday,="2577"
2025-03-26,Wednesday,="2164"
2025-03-27,Thursday,="1026"
2025-03-28,Friday,="0144"
2025-03-29,Saturday,="5655"
2025-03-30,Sunday,="1085"
2025-03-31,Monday,="4251"
2025-04-01,Tuesday,="8365"
2025-04-02,Wednesday,="0038"
2025-04-03,Thursday,="8293"
2025-04-04,Friday,="6587"
2025-04-05,Saturday,="7495"
2025-04-06,Sunday,="5423"
2025-04-07,Monday,="0820"
2025-04-08,Tuesday,="3338"
2025-04-09,Wednesday,="3494"
2025-04-10,Thursday,="3323"
2025-04-11,Friday,="4213"
2025-04-12,Saturday,="1630"
2025-04-13,Sunday,="6481"
2025-04-14,Monday,="4863"
2025-04-15,Tuesday,="2203"
2025-04-16,Wednesday,="3250"
2025-04-17,Thursday,="4982"
2025-04-18,Friday,="5991"
2025-04-19,Saturday,="5982"
2025-04-20,Sunday,="7483"
2025-04-21,Monday,="6836"
2025-04-22,Tuesday,="4704"
2025-04-23,Wednesday,="0725"
2025-04-24,Thursday,="3176"
2025-04-25,Friday,="4047"
2025-04-26,Saturday,="7040"
2025-04-27,Sunday,="8080"
2025-04-28,Monday,="8964"
2025-04-29,Tuesday,="8095"
2025-04-30,Wednesday,="5153"
2025-05-01,Thursday,="2832"
2025-05-02,Friday,="3188"
2025-05-03,Saturday,="2456"
2025-05-04,Sunday,="8240"
2025-05-05,Monday,="6614"
2025-05-06,Tuesday,="6221"
2025-05-07,Wednesday,="9044"
2025-05-08,Thursday,="0420"
2025-05-09,Friday,="7575"
2025-05-10,Saturday,="6315"
2025-05-11,Sunday,="6273"
2025-05-12,Monday,="0485"
2025-05-13,Tuesday,="4647"
2025-05-14,Wednesday,="1570"
2025-05-15,Thursday,="3288"
2025-05-16,Friday,="6224"
2025-05-17,Saturday,="0961"
2025-05-18,Sunday,="7408"
2025-05-19,Monday,="1510"
2025-05-20,Tuesday,="1961"
2025-05-21,Wednesday,="5685"
2025-05-22,Thursday,="0319"
2025-05-23,Friday,="4219"
2025-05-24,Saturday,="4275"
2025-05-25,Sunday,="1222"
2025-05-26,Monday,="4997"
2025-05-27,Tuesday,="3845"
2025-05-28,Wednesday,="5416"
2025-05-29,Thursday,="1451"
2025-05-30,Friday,="4798"
2025-05-31,Saturday,="1843"
2025-06-01,Sunday,="1056"
2025-06-02,Monday,="5365"
2025-06-03,Tuesday,="1448"
2025-06-04,Wednesday,="4431"
2025-06-05,Thursday,="4105"
2025-06-06,Friday,="5026"
2025-06-07,Saturday,="8274"
2025-06-08,Sunday,="4782"
2025-06-09,Monday,="7769"
2025-06-10,Tuesday,="6975"
2025-06-11,Wednesday,="6168"
2025-06-12,Thursday,="9106"
2025-06-13,Friday,="7897"
2025-06-14,Saturday,="0057"
2025-06-15,Sunday,="6716"
2025-06-16,Monday,="3394"
2025-06-17,Tuesday,="1482"
2025-06-18,Wednesday,="6475"
2025-06-19,Thursday,="3708"
2025-06-20,Friday,="7420"
2025-06-21,Saturday,="8377"
2025-06-22,Sunday,="7249"
2025-06-23,Monday,="1202"
2025-06-24,Tuesday,="3233"
2025-06-25,Wednesday,="3058"
2025-06-26,Thursday,="9300"
2025-06-27,Friday,="0725"
2025-06-28,Saturday,="3494"
2025-06-29,Sunday,="8131"
2025-06-30,Monday,="3380"
2025-07-01,Tuesday,="8666"
2025-07-02,Wednesday,="4411"
2025-07-03,Thursday,="9919"
2025-07-04,Friday,="8026"
2025-07-05,Saturday,="3482"
2025-07-06,Sunday,="2033"
2025-07-07,Monday,="7449"
2025-07-08,Tuesday,="3480"
2025-07-09,Wednesday,="5729"
2025-07-10,Thursday,="3877"
2025-07-11,Friday,="8531"
2025-07-12,Saturday,="9505"
2025-07-13,Sunday,="4121"
2025-07-14,Monday,="9699"
2025-07-15,Tuesday,="7887"
2025-07-16,Wednesday,="5553"
2025-07-17,Thursday,="4108"
2025-07-18,Friday,="1231"
2025-07-19,Saturday,="1822"
2025-07-20,Sunday,="8527"
2025-07-21,Monday,="1213"
2025-07-22,Tuesday,="6719"
2025-07-23,Wednesday,="9385"
2025-07-24,Thursday,="9388"
2025-07-25,Friday,="5271"
2025-07-26,Saturday,="7358"
2025-07-27,Sunday,="9839"
2025-07-28,Monday,="4203"
2025-07-29,Tuesday,="0931"
2025-07-30,Wednesday,="2939"
2025-07-31,Thursday,="6269"
2025-08-01,Friday,="8220"
2025-08-02,Saturday,="4048"
2025-08-03,Sunday,="7444"
2025-08-04,Monday,="1282"
2025-08-05,Tuesday,="6026"
2025-08-06,Wednesday,="5120"
2025-08-07,Thursday,="1805"
2025-08-08,Friday,="0213"
2025-08-09,Saturday,="9521"
2025-08-10,Sunday,="3984"
2025-08-11,Monday,="4885"
2025-08-12,Tuesday,="1207"
2025-08-13,Wednesday,="9448"
2025-08-14,Thursday,="7456"
2025-08-15,Friday,="9517"
2025-08-16,Saturday,="1885"
2025-08-17,Sunday,="4517"
2025-08-18,Monday,="6773"
2025-08-19,Tuesday,="5421"
2025-08-20,Wednesday,="7858"
2025-08-21,Thursday,="6691"
2025-08-22,Friday,="9737"
2025-08-23,Saturday,="8068"
2025-08-24,Sunday,="8477"
2025-08-25,Monday,="8948"
2025-08-26,Tuesday,="4976"
2025-08-27,Wednesday,="5363"
2025-08-28,Thursday,="8123"
2025-08-29,Friday,="0166"
2025-08-30,Saturday,="8677"
2025-08-31,Sunday,="7650"
2025-09-01,Monday,="4041"
2025-09-02,Tuesday,="5145"
2025-09-03,Wednesday,="6368"
2025-09-04,Thursday,="4938"
2025-09-05,Friday,="1603"
2025-09-06,Saturday,="6837"
2025-09-07,Sunday,="4880"
2025-09-08,Monday,="1829"
2025-09-09,Tuesday,="4617"
2025-09-10,Wednesday,="4048"
2025-09-11,Thursday,="1270"
2025-09-12,Friday,="2894"
2025-09-13,Saturday,="1906"
2025-09-14,Sunday,="4181"
2025-09-15,Monday,="0348"
2025-09-16,Tuesday,="2510"
2025-09-17,Wednesday,="0050"
2025-09-18,Thursday,="8049"
2025-09-19,Friday,="9619"
2025-09-20,Saturday,="9719"
2025-09-21,Sunday,="7297"
2025-09-22,Monday,="0333"
2025-09-23,Tuesday,="4198"
2025-09-24,Wednesday,="7978"
2025-09-25,Thursday,="7349"
2025-09-26,Friday,="2379"
2025-09-27,Saturday,="8205"
2025-09-28,Sunday,="5001"
2025-09-29,Monday,="1148"
2025-09-30,Tuesday,="0785"
2025-10-01,Wednesday,="1285"
2025-10-02,Thursday,="6559"
2025-10-03,Friday,="6345"
2025-10-04,Saturday,="5986"
2025-10-05,Sunday,="9920"
2025-10-06,Monday,="2326"
2025-10-07,Tuesday,="7735"
2025-10-08,Wednesday,="4403"
2025-10-09,Thursday,="2024"
2025-10-10,Friday,="8051"
2025-10-11,Saturday,="6405"
2025-10-12,Sunday,="1208"
2025-10-13,Monday,="0401"
2025-10-14,Tuesday,="0971"
2025-10-15,Wednesday,="9110"
2025-10-16,Thursday,="6825"
2025-10-17,Friday,="2046"
2025-10-18,Saturday,="5614"
2025-10-19,Sunday,="9947"
2025-10-20,Monday,="1527"
2025-10-21,Tuesday,="7206"
2025-10-22,Wednesday,="6214"
2025-10-23,Thursday,="0908"
2025-10-24,Friday,="6476"
2025-10-25,Saturday,="6721"
2025-10-26,Sunday,="8732"
2025-10-27,Monday,="8971"
2025-10-28,Tuesday,="1750"
2025-10-29,Wednesday,="1310"
2025-10-30,Thursday,="9820"
2025-10-31,Friday,="9727"
2025-11-01,Saturday,="8642"
2025-11-02,Sunday,="7343"
2025-11-03,Monday,="7920"
2025-11-04,Tuesday,="8256"
2025-11-05,Wednesday,="8575"
2025-11-06,Thursday,="4757"
2025-11-07,Friday,="3185"
2025-11-08,Saturday,="0933"
2025-11-09,Sunday,="8954"
2025-11-10,Monday,="7457"
2025-11-11,Tuesday,="0246"
2025-11-12,Wednesday,="8860"
2025-11-13,Thursday,="4562"
2025-11-14,Friday,="3254"
2025-11-15,Saturday,="3082"
2025-11-16,Sunday,="7453"
2025-11-17,Monday,="0628"
2025-11-18,Tuesday,="5332"
2025-11-19,Wednesday,="8764"
2025-11-20,Thursday,="5636"
2025-11-21,Friday,="8931"
2025-11-22,Saturday,="6170"
2025-11-23,Sunday,="8895"
2025-11-24,Monday,="4721"
2025-11-25,Tuesday,="3774"
2025-11-26,Wednesday,="2702"
2025-11-27,Thursday,="9002"
2025-11-28,Friday,="4199"
2025-11-29,Saturday,="2444"
2025-11-30,Sunday,="2838"
2025-12-01,Monday,="8557"
2025-12-02,Tuesday,="1666"
2025-12-03,Wednesday,="6527"
2025-12-04,Thursday,="8152"
2025-12-05,Friday,="9265"
2025-12-06,Saturday,="5851"
2025-12-07,Sunday,="7825"
2025-12-08,Monday,="8327"
2025-12-09,Tuesday,="5634"
2025-12-10,Wednesday,="1580"
2025-12-11,Thursday,="3153"
2025-12-12,Friday,="3182"
2025-12-13,Saturday,="0472"
2025-12-14,Sunday,="9064"
2025-12-15,Monday,="7898"
2025-12-16,Tuesday,="5637"
2025-12-17,Wednesday,="6352"
2025-12-18,Thursday,="7328"
2025-12-19,Friday,="1217"
2025-12-20,Saturday,="7593"
2025-12-21,Sunday,="7511"
2025-12-22,Monday,="5719"
2025-12-23,Tuesday,="9799"
2025-12-24,Wednesday,="6679"
2025-12-25,Thursday,="5942"
2025-12-26,Friday,="3029"
2025-12-27,Saturday,="3757"
2025-12-28,Sunday,="1942"
2025-12-29,Monday,="4298"
2025-12-30,Tuesday,="6851"
2025-12-31,Wednesday,="1423"
