date,day,evening
2025-01-01,Wednesday,="2166"
2025-01-02,Thursday,="9782"
2025-01-03,Friday,="1736"
2025-01-04,Saturday,="2923"
2025-01-05,Sunday,="7616"
2025-01-06,Monday,="1646"
2025-01-07,Tuesday,="4679"
2025-01-08,Wednesday,="5341"
2025-01-09,Thursday,="2268"
2025-01-10,Friday,="4550"
2025-01-11,Saturday,="8940"
2025-01-12,Sunday,="0892"
2025-01-13,Monday,="8847"
2025-01-14,Tuesday,="5994"
2025-01-15,Wednesday,="0829"
2025-01-16,Thursday,="5723"
2025-01-17,Friday,="0745"
2025-01-18,Saturday,="9926"
2025-01-19,Sunday,="4161"
2025-01-20,Monday,="7054"
2025-01-21,Tuesday,="1924"
2025-01-22,Wednesday,="9577"
2025-01-23,Thursday,="1845"
2025-01-24,Friday,="9242"
2025-01-25,Saturday,="2444"
2025-01-26,Sunday,="9300"
2025-01-27,Monday,="3042"
2025-01-28,Tuesday,="0631"
2025-01-29,Wednesday,="1502"
2025-01-30,Thursday,="7986"
2025-01-31,Friday,="5366"
2025-02-01,Saturday,="2736"
2025-02-02,Sunday,="5589"
2025-02-03,Monday,="0208"
2025-02-04,Tuesday,="2841"
2025-02-05,Wednesday,="8917"
2025-02-06,Thursday,="8715"
2025-02-07,Friday,="3857"
2025-02-08,Saturday,="8495"
2025-02-09,Sunday,="2965"
2025-02-10,Monday,="4901"
2025-02-11,Tuesday,="0127"
2025-02-12,Wednesday,="5336"
2025-02-13,Thursday,="7432"
2025-02-14,Friday,="5136"
2025-02-15,Saturday,="7262"
2025-02-16,Sunday,="7830"
2025-02-17,Monday,="7971"
2025-02-18,Tuesday,="4071"
2025-02-19,Wednesday,="8541"
2025-02-20,Thursday,="4403"
2025-02-21,Friday,="3758"
2025-02-22,Saturday,="8757"
2025-02-23,Sunday,="3215"
2025-02-24,Monday,="5230"
2025-02-25,Tuesday,="7466"
2025-02-26,Wednesday,="4020"
2025-02-27,Thursday,="9670"
2025-02-28,Friday,="5205"
2025-03-01,Saturday,="2631"
2025-03-02,Sunday,="9534"
2025-03-03,Monday,="3707"
2025-03-04,Tuesday,="8774"
2025-03-05,Wednesday,="9722"
2025-03-06,Thursday,="6406"
2025-03-07,Friday,="3970"
2025-03-08,Saturday,="6140"
2025-03-09,Sunday,="8776"
2025-03-10,Monday,="9636"
2025-03-11,Tuesday,="5727"
