date,midday
2025-04-09,="7364"
2025-04-08,="8962"
2025-04-07,="5583"
2025-04-06,="4752"
2025-04-05,="4440"
2025-04-04,="4490"
2025-04-03,="3524"
2025-04-02,="8448"
2025-04-01,="3177"
2025-03-31,="5859"
2025-03-30,="8371"
2025-03-29,="5486"
2025-03-28,="7738"
2025-03-27,="6773"
2025-03-26,="5823"
2025-03-25,="6090"
2025-03-24,="2193"
2025-03-23,="7772"
2025-03-22,="7369"
2025-03-21,="1659"
2025-03-20,="8557"
2025-03-19,="5860"
2025-03-18,="9546"
2025-03-17,="6259"
2025-03-16,="1520"
2025-03-15,="5908"
2025-03-14,="4523"
2025-03-13,="2803"
2025-03-12,="6779"
2025-03-11,="5611"
2025-03-10,="1227"
2025-03-09,="8612"
2025-03-08,="0024"
2025-03-07,="4578"
2025-03-06,="8137"
2025-03-05,="4871"
2025-03-04,="2027"
2025-03-03,="3868"
2025-03-02,="3236"
2025-03-01,="4360"
2025-02-28,="0557"
2025-02-27,="6309"
2025-02-26,="4498"
2025-02-25,="8286"
2025-02-24,="8000"
2025-02-23,="6609"
2025-02-22,="4422"
2025-02-21,="8753"
2025-02-20,="9769"
2025-02-19,="5318"
2025-02-18,="6365"
2025-02-17,="5857"
2025-02-16,="7385"
2025-02-15,="7949"
2025-02-14,="9531"
2025-02-13,="8458"
2025-02-12,="8726"
2025-02-11,="5084"
2025-02-10,="1955"
2025-02-09,="6006"
2025-02-08,="6139"
2025-02-07,="5489"
2025-02-06,="2790"
2025-02-05,="6152"
2025-02-04,="8007"
2025-02-03,="3663"
2025-02-02,="9433"
2025-02-01,="9018"
2025-01-31,="4633"
2025-01-30,="8536"
2025-01-29,="1965"
2025-01-28,="7887"
2025-01-27,="7460"
2025-01-26,="4708"
2025-01-25,="3056"
2025-01-24,="2280"
2025-01-23,="1140"
2025-01-22,="6715"
2025-01-21,="9689"
2025-01-20,="7048"
2025-01-19,="1243"
2025-01-18,="1308"
2025-01-17,="3640"
2025-01-16,="6930"
2025-01-15,="2215"
2025-01-14,="5078"
2025-01-13,="4219"
2025-01-12,="4842"
2025-01-11,="0613"
2025-01-10,="8383"
2025-01-09,="1781"
2025-01-08,="2577"
2025-01-07,="0524"
2025-01-06,="6010"
2025-01-05,="4123"
2025-01-04,="2427"
2025-01-03,="6067"
2025-01-02,="3957"
2025-01-01,="0664"
