date,day,evening
2024-01-01,Monday,="7737"
2024-01-02,Tuesday,="1254"
2024-01-03,Wednesday,="7056"
2024-01-04,Thursday,="5817"
2024-01-05,Friday,="4937"
2024-01-06,Saturday,="5777"
2024-01-07,Sunday,="6616"
2024-01-08,Monday,="5863"
2024-01-09,Tuesday,="3372"
2024-01-10,Wednesday,="0908"
2024-01-11,Thursday,="6763"
2024-01-12,Friday,="1755"
2024-01-13,Saturday,="1620"
2024-01-14,Sunday,="3377"
2024-01-15,Monday,="4302"
2024-01-16,Tuesday,="0007"
2024-01-17,Wednesday,="9964"
2024-01-18,Thursday,="5352"
2024-01-19,Friday,="2967"
2024-01-20,Saturday,="0083"
2024-01-21,Sunday,="8326"
2024-01-22,Monday,="4954"
2024-01-23,Tuesday,="4186"
2024-01-24,Wednesday,="3694"
2024-01-25,Thursday,="1183"
2024-01-26,Friday,="0221"
2024-01-27,Saturday,="0592"
2024-01-28,Sunday,="8097"
2024-01-29,Monday,="3077"
2024-01-30,Tuesday,="4899"
2024-01-31,Wednesday,="7097"
2024-02-01,Thursday,="8958"
2024-02-02,Friday,="1736"
2024-02-03,Saturday,="0751"
2024-02-04,Sunday,="9853"
2024-02-05,Monday,="5801"
2024-02-06,Tuesday,="9628"
2024-02-07,Wednesday,="1377"
2024-02-08,Thursday,="4848"
2024-02-09,Friday,="4785"
2024-02-10,Saturday,="8563"
2024-02-11,Sunday,="7335"
2024-02-12,Monday,="8463"
2024-02-13,Tuesday,="1073"
2024-02-14,Wednesday,="7778"
2024-02-15,Thursday,="4606"
2024-02-16,Friday,="7774"
2024-02-17,Saturday,="4450"
2024-02-18,Sunday,="1952"
2024-02-19,Monday,="1072"
2024-02-20,Tuesday,="7758"
2024-02-21,Wednesday,="4911"
2024-02-22,Thursday,="5487"
2024-02-23,Friday,="3678"
2024-02-24,Saturday,="4630"
2024-02-25,Sunday,="0365"
2024-02-26,Monday,="2717"
2024-02-27,Tuesday,="8956"
2024-02-28,Wednesday,="7484"
2024-02-29,Thursday,="9344"
2024-03-01,Friday,="9511"
2024-03-02,Saturday,="2197"
2024-03-03,Sunday,="4859"
2024-03-04,Monday,="2325"
2024-03-05,Tuesday,="1442"
2024-03-06,Wednesday,="2773"
2024-03-07,Thursday,="5098"
2024-03-08,Friday,="5773"
2024-03-09,Saturday,="7162"
2024-03-10,Sunday,="2949"
2024-03-11,Monday,="2391"
2024-03-12,Tuesday,="8419"
2024-03-13,Wednesday,="4396"
2024-03-14,Thursday,="5197"
2024-03-15,Friday,="7672"
2024-03-16,Saturday,="2895"
2024-03-17,Sunday,="5049"
2024-03-18,Monday,="5945"
2024-03-19,Tuesday,="3366"
2024-03-20,Wednesday,="3628"
2024-03-21,Thursday,="0457"
2024-03-22,Friday,="2925"
2024-03-23,Saturday,="8150"
2024-03-24,Sunday,="6984"
2024-03-25,Monday,="2085"
2024-03-26,Tuesday,="3368"
2024-03-27,Wednesday,="8157"
2024-03-28,Thursday,="6224"
2024-03-29,Friday,="1188"
2024-03-30,Saturday,="7759"
2024-03-31,Sunday,="0515"
2024-04-01,Monday,="2275"
2024-04-02,Tuesday,="2379"
