date,day,evening
2021-07-07,Wednesday,="9991"
2021-07-08,Thursday,="9906"
2021-07-09,Friday,="5780"
2021-07-10,Saturday,="8530"
2021-07-11,Sunday,="6224"
2021-07-12,Monday,="9860"
2021-07-13,Tuesday,="0488"
2021-07-14,Wednesday,="7278"
2021-07-15,Thursday,="9327"
2021-07-16,Friday,="1643"
2021-07-17,Saturday,="1309"
2021-07-18,Sunday,="9932"
2021-07-19,Monday,="4649"
2021-07-20,Tuesday,="6395"
2021-07-21,Wednesday,="4029"
2021-07-22,Thursday,="4666"
2021-07-23,Friday,="6668"
2021-07-24,Saturday,="7572"
2021-07-25,Sunday,="2985"
2021-07-26,Monday,="1098"
2021-07-27,Tuesday,="1623"
2021-07-28,Wednesday,="4317"
2021-07-29,Thursday,="9367"
2021-07-30,Friday,="7425"
2021-07-31,Saturday,="4683"
2021-08-01,Sunday,="6088"
2021-08-02,Monday,="4393"
2021-08-03,Tuesday,="4147"
2021-08-04,Wednesday,="0916"
2021-08-05,Thursday,="6387"
2021-08-06,Friday,="5394"
2021-08-07,Saturday,="4957"
2021-08-08,Sunday,="8983"
2021-08-09,Monday,="5331"
2021-08-10,Tuesday,="5611"
2021-08-11,Wednesday,="6931"
2021-08-12,Thursday,="5361"
2021-08-13,Friday,="2868"
2021-08-14,Saturday,="9382"
2021-08-15,Sunday,="4512"
2021-08-16,Monday,="5989"
2021-08-17,Tuesday,="0479"
2021-08-18,Wednesday,="4525"
2021-08-19,Thursday,="5369"
2021-08-20,Friday,="6045"
2021-08-21,Saturday,="0824"
2021-08-22,Sunday,="7050"
2021-08-23,Monday,="3846"
2021-08-24,Tuesday,="3096"
2021-08-25,Wednesday,="4725"
2021-08-26,Thursday,="8240"
2021-08-27,Friday,="4448"
2021-08-28,Saturday,="3868"
2021-08-29,Sunday,="0118"
2021-08-30,Monday,="7167"
2021-08-31,Tuesday,="3537"
2021-09-01,Wednesday,="4619"
2021-09-02,Thursday,="0563"
2021-09-03,Friday,="3915"
2021-09-04,Saturday,="4259"
2021-09-05,Sunday,="7216"
2021-09-06,Monday,="1910"
2021-09-07,Tuesday,="2926"
2021-09-08,Wednesday,="5296"
2021-09-09,Thursday,="0254"
2021-09-10,Friday,="8237"
2021-09-11,Saturday,="9944"
2021-09-12,Sunday,="1634"
2021-09-13,Monday,="2270"
2021-09-14,Tuesday,="6100"
2021-09-15,Wednesday,="7977"
2021-09-16,Thursday,="2311"
2021-09-17,Friday,="3140"
2021-09-18,Saturday,="5613"
2021-09-19,Sunday,="3623"
2021-09-20,Monday,="7111"
2021-09-21,Tuesday,="6137"
2021-09-22,Wednesday,="2729"
2021-09-23,Thursday,="6383"
2021-09-24,Friday,="3094"
2021-09-25,Saturday,="4999"
2021-09-26,Sunday,="4556"
2021-09-27,Monday,="1041"
2021-09-28,Tuesday,="5407"
2021-09-29,Wednesday,="8424"
2021-09-30,Thursday,="5379"
2021-10-01,Friday,="6737"
2021-10-02,Saturday,="3921"
2021-10-03,Sunday,="2898"
2021-10-04,Monday,="9352"
2021-10-05,Tuesday,="0634"
2021-10-06,Wednesday,="0798"
2021-10-07,Thursday,="4372"
2021-10-08,Friday,="5868"
2021-10-09,Saturday,="7104"
2021-10-10,Sunday,="6024"
2021-10-11,Monday,="9783"
2021-10-12,Tuesday,="7941"
2021-10-13,Wednesday,="5393"
2021-10-14,Thursday,="7321"
2021-10-15,Friday,="2364"
2021-10-16,Saturday,="3793"
2021-10-17,Sunday,="6670"
2021-10-18,Monday,="2129"
2021-10-19,Tuesday,="1450"
2021-10-20,Wednesday,="3157"
2021-10-21,Thursday,="0924"
2021-10-22,Friday,="5127"
2021-10-23,Saturday,="1000"
2021-10-24,Sunday,="8774"
2021-10-25,Monday,="0262"
2021-10-26,Tuesday,="7359"
2021-10-27,Wednesday,="1775"
2021-10-28,Thursday,="6813"
2021-10-29,Friday,="0831"
2021-10-30,Saturday,="4434"
2021-10-31,Sunday,="9633"
2021-11-01,Monday,="2212"
2021-11-02,Tuesday,="5465"
2021-11-03,Wednesday,="3535"
2021-11-04,Thursday,="8842"
2021-11-05,Friday,="3083"
2021-11-06,Saturday,="8649"
2021-11-07,Sunday,="2156"
2021-11-08,Monday,="6496"
2021-11-09,Tuesday,="1615"
2021-11-10,Wednesday,="4171"
2021-11-11,Thursday,="2697"
2021-11-12,Friday,="7371"
2021-11-13,Saturday,="3241"
2021-11-14,Sunday,="5011"
2021-11-15,Monday,="8622"
2021-11-16,Tuesday,="6773"
2021-11-17,Wednesday,="5815"
2021-11-18,Thursday,="5334"
2021-11-19,Friday,="4908"
2021-11-20,Saturday,="9689"
2021-11-21,Sunday,="9774"
2021-11-22,Monday,="0172"
2021-11-23,Tuesday,="2822"
2021-11-24,Wednesday,="6051"
2021-11-25,Thursday,="4673"
2021-11-26,Friday,="9687"
2021-11-27,Saturday,="7345"
2021-11-28,Sunday,="0809"
2021-11-29,Monday,="4626"
2021-11-30,Tuesday,="4777"
2021-12-01,Wednesday,="0989"
2021-12-02,Thursday,="6370"
2021-12-03,Friday,="6343"
2021-12-04,Saturday,="9585"
2021-12-05,Sunday,="8884"
2021-12-06,Monday,="2103"
2021-12-07,Tuesday,="1390"
2021-12-08,Wednesday,="9450"
2021-12-09,Thursday,="1128"
2021-12-10,Friday,="5135"
2021-12-11,Saturday,="8446"
2021-12-12,Sunday,="3674"
2021-12-13,Monday,="0091"
2021-12-14,Tuesday,="7282"
2021-12-15,Wednesday,="5949"
2021-12-16,Thursday,="6626"
2021-12-17,Friday,="1295"
2021-12-18,Saturday,="3049"
2021-12-19,Sunday,="6163"
2021-12-20,Monday,="0037"
2021-12-21,Tuesday,="1478"
2021-12-22,Wednesday,="0202"
2021-12-23,Thursday,="5295"
2021-12-24,Friday,="5293"
2021-12-25,Saturday,="6934"
2021-12-26,Sunday,="7934"
2021-12-27,Monday,="3907"
2021-12-28,Tuesday,="9206"
2021-12-29,Wednesday,="0522"
2021-12-30,Thursday,="5979"
2021-12-31,Friday,="0522"
