date,day,evening
02-06-2020,Tuesday,6338
01-06-2020,Monday,2551
31-05-2020,Sunday,8886
30-05-2020,Saturday,9702
29-05-2020,Friday,3292
28-05-2020,Thursday,6504
27-05-2020,Wednesday,6599
26-05-2020,Tuesday,3110
25-05-2020,Monday,8776
24-05-2020,Sunday,7642
23-05-2020,Saturday,5339
22-05-2020,Friday,3816
21-05-2020,Thursday,7503
20-05-2020,Wednesday,2262
19-05-2020,Tuesday,5337
18-05-2020,Monday,1721
17-05-2020,Sunday,7266
16-05-2020,Saturday,3060
15-05-2020,Friday,8661
14-05-2020,Thursday,9637
13-05-2020,Wednesday,2321
12-05-2020,Tuesday,3454
11-05-2020,Monday,6868
10-05-2020,Sunday,2524
09-05-2020,Saturday,5220
08-05-2020,Friday,9468
07-05-2020,Thursday,5839
06-05-2020,Wednesday,7206
05-05-2020,Tuesday,1552
04-05-2020,Monday,4201
03-05-2020,Sunday,4317
02-05-2020,Saturday,2995
01-05-2020,Friday,2943
30-04-2020,Thursday,3140
29-04-2020,Wednesday,1700
28-04-2020,Tuesday,7338
27-04-2020,Monday,6835
26-04-2020,Sunday,0444
25-04-2020,Saturday,3740
24-04-2020,Friday,4773
23-04-2020,Thursday,7941
22-04-2020,Wednesday,0678
21-04-2020,Tuesday,7951
20-04-2020,Monday,6012
19-04-2020,Sunday,2983
18-04-2020,Saturday,7610
17-04-2020,Friday,0910
16-04-2020,Thursday,6617
15-04-2020,Wednesday,2205
14-04-2020,Tuesday,4398
13-04-2020,Monday,0280
12-04-2020,Sunday,3719
11-04-2020,Saturday,0107
10-04-2020,Friday,2757
09-04-2020,Thursday,2073
08-04-2020,Wednesday,5449
07-04-2020,Tuesday,2097
06-04-2020,Monday,5718
05-04-2020,Sunday,6244
04-04-2020,Saturday,3763
03-04-2020,Friday,7249
02-04-2020,Thursday,4355
01-04-2020,Wednesday,8408
31-03-2020,Tuesday,3568
30-03-2020,Monday,9728
29-03-2020,Sunday,9414
28-03-2020,Saturday,8762
27-03-2020,Friday,1310
26-03-2020,Thursday,2723
25-03-2020,Wednesday,2386
24-03-2020,Tuesday,6783
23-03-2020,Monday,5570
22-03-2020,Sunday,1893
21-03-2020,Saturday,3967
20-03-2020,Friday,0711
19-03-2020,Thursday,1889
18-03-2020,Wednesday,4893
17-03-2020,Tuesday,5250
16-03-2020,Monday,2534
15-03-2020,Sunday,1561
14-03-2020,Saturday,3543
13-03-2020,Friday,9427
12-03-2020,Thursday,5744
11-03-2020,Wednesday,3536
10-03-2020,Tuesday,6580
09-03-2020,Monday,1273
08-03-2020,Sunday,2334
07-03-2020,Saturday,8907
06-03-2020,Friday,7048
05-03-2020,Thursday,2434
04-03-2020,Wednesday,1413
03-03-2020,Tuesday,2889
02-03-2020,Monday,8074
01-03-2020,Sunday,6165
29-02-2020,Saturday,8293
28-02-2020,Friday,6444
27-02-2020,Thursday,1943
26-02-2020,Wednesday,5966
25-02-2020,Tuesday,7232
24-02-2020,Monday,3735
23-02-2020,Sunday,2955
22-02-2020,Saturday,8167
21-02-2020,Friday,7188
20-02-2020,Thursday,0886
19-02-2020,Wednesday,7157
18-02-2020,Tuesday,9726
17-02-2020,Monday,1639
16-02-2020,Sunday,7792
15-02-2020,Saturday,4407
14-02-2020,Friday,7072
13-02-2020,Thursday,1701
12-02-2020,Wednesday,6792
11-02-2020,Tuesday,2883
10-02-2020,Monday,1529
09-02-2020,Sunday,5495
08-02-2020,Saturday,5380
07-02-2020,Friday,1174
06-02-2020,Thursday,2469
05-02-2020,Wednesday,6006
04-02-2020,Tuesday,8056
03-02-2020,Monday,5749
02-02-2020,Sunday,1848
01-02-2020,Saturday,9406
31-01-2020,Friday,4601
30-01-2020,Thursday,6285
29-01-2020,Wednesday,5945
28-01-2020,Tuesday,2830
27-01-2020,Monday,4447
26-01-2020,Sunday,8515
25-01-2020,Saturday,6112
24-01-2020,Friday,4530
23-01-2020,Thursday,8337
22-01-2020,Wednesday,8200
21-01-2020,Tuesday,9517
20-01-2020,Monday,9516
19-01-2020,Sunday,1222
18-01-2020,Saturday,9285
17-01-2020,Friday,9395
16-01-2020,Thursday,0954
15-01-2020,Wednesday,6826
14-01-2020,Tuesday,2241
13-01-2020,Monday,9288
12-01-2020,Sunday,7289
11-01-2020,Saturday,4480
10-01-2020,Friday,8996
09-01-2020,Thursday,7051
08-01-2020,Wednesday,1022
07-01-2020,Tuesday,6141
06-01-2020,Monday,4605
05-01-2020,Sunday,8932
04-01-2020,Saturday,5422
03-01-2020,Friday,3415
02-01-2020,Thursday,3976
01-01-2020,Wednesday,7673
