date,day,evening
2026-01-01,Thursday,="7480"
2026-01-02,Friday,="6020"
2026-01-03,Saturday,="1617"
2026-01-04,Sunday,="2054"
2026-01-05,Monday,="5275"
2026-01-06,Tuesday,="1723"
2026-01-07,Wednesday,="6021"
2026-01-08,Thursday,="2728"
2026-01-09,Friday,="0581"
2026-01-10,Saturday,="6110"
2026-01-11,Sunday,="4364"
2026-01-12,Monday,="0083"
2026-01-13,Tuesday,="2937"
2026-01-14,Wednesday,="6312"
2026-01-15,Thursday,="8092"
2026-01-16,Friday,="4348"
2026-01-17,Saturday,="0217"
2026-01-18,Sunday,="7006"
2026-01-19,Monday,="6778"
2026-01-20,Tuesday,="1504"
2026-01-21,Wednesday,="8456"
2026-01-22,Thursday,="9724"
2026-01-23,Friday,="2346"
2026-01-24,Saturday,="3358"
2026-01-25,Sunday,="9586"
2026-01-26,Monday,="6808"
2026-01-27,Tuesday,="8603"
2026-01-28,Wednesday,="4414"
2026-01-29,Thursday,="8159"
2026-01-30,Friday,="3994"
2026-01-31,Saturday,="0310"
2026-02-01,Sunday,="4355"
2026-02-02,Monday,="2665"
2026-02-03,Tuesday,="9234"
2026-02-04,Wednesday,="9080"
2026-02-05,Thursday,="4850"
2026-02-06,Friday,="9609"
2026-02-07,Saturday,="3681"
2026-02-08,Sunday,="2982"
2026-02-09,Monday,="7022"
2026-02-10,Tuesday,="0842"
2026-02-11,Wednesday,="2689"
2026-02-12,Thursday,="0746"
2026-02-13,Friday,="6978"
2026-02-14,Saturday,="2423"
2026-02-15,Sunday,="9951"
2026-02-16,Monday,="5159"
2026-02-17,Tuesday,="9673"
2026-02-18,Wednesday,="6388"
