date,midday
2021-12-31,="9709"
2021-12-30,="8999"
2021-12-29,="4336"
2021-12-28,="7959"
2021-12-27,="1340"
2021-12-26,="8877"
2021-12-25,="2628"
2021-12-24,="4018"
2021-12-23,="6215"
2021-12-22,="6547"
2021-12-21,="8571"
2021-12-20,="7940"
2021-12-19,="0602"
2021-12-18,="1414"
2021-12-17,="7487"
2021-12-16,="5976"
2021-12-15,="8778"
2021-12-14,="2305"
2021-12-13,="0125"
2021-12-12,="8666"
2021-12-11,="8875"
2021-12-10,="0673"
2021-12-09,="3895"
2021-12-08,="4553"
2021-12-07,="4794"
2021-12-06,="2812"
2021-12-05,="2981"
2021-12-04,="2221"
2021-12-03,="5299"
2021-12-02,="4946"
2021-12-01,="0829"
2021-11-30,="6981"
2021-11-29,="0372"
2021-11-28,="0324"
2021-11-27,="2673"
2021-11-26,="7063"
2021-11-25,="4321"
2021-11-24,="6110"
2021-11-23,="9118"
2021-11-22,="2507"
2021-11-21,="7962"
2021-11-20,="9606"
2021-11-19,="8704"
2021-11-18,="8462"
2021-11-17,="7782"
2021-11-16,="2958"
2021-11-15,="0350"
2021-11-14,="4441"
2021-11-13,="2376"
2021-11-12,="3216"
2021-11-11,="9799"
2021-11-10,="3652"
2021-11-09,="4050"
2021-11-08,="2265"
2021-11-07,="4062"
2021-11-06,="0940"
2021-11-05,="0101"
2021-11-04,="3488"
2021-11-03,="0873"
2021-11-02,="5454"
2021-11-01,="5452"
2021-10-31,="9514"
2021-10-30,="7503"
2021-10-29,="3291"
2021-10-28,="4391"
2021-10-27,="4615"
2021-10-26,="1068"
2021-10-25,="3687"
2021-10-24,="5745"
2021-10-23,="8274"
2021-10-22,="9589"
2021-10-21,="8163"
2021-10-20,="1442"
2021-10-19,="4340"
2021-10-18,="5775"
2021-10-17,="8997"
2021-10-16,="8418"
2021-10-15,="8495"
2021-10-14,="1434"
2021-10-13,="4710"
2021-10-12,="1434"
2021-10-11,="3488"
2021-10-10,="3301"
2021-10-09,="0587"
2021-10-08,="2175"
2021-10-07,="2157"
2021-10-06,="7553"
2021-10-05,="4396"
2021-10-04,="1725"
2021-10-03,="5018"
2021-10-02,="3881"
2021-10-01,="1094"
2021-09-30,="4235"
2021-09-29,="8815"
2021-09-28,="3373"
2021-09-27,="6617"
2021-09-26,="5368"
2021-09-25,="0649"
2021-09-24,="3277"
2021-09-23,="9143"
2021-09-22,="3091"
2021-09-21,="0702"
2021-09-20,="3493"
2021-09-19,="6229"
2021-09-18,="7361"
2021-09-17,="8854"
2021-09-16,="0693"
2021-09-15,="0022"
2021-09-14,="3849"
2021-09-13,="7140"
2021-09-12,="9079"
2021-09-11,="8999"
2021-09-10,="9833"
2021-09-09,="9126"
2021-09-08,="7320"
2021-09-07,="3754"
2021-09-06,="8015"
2021-09-05,="3099"
2021-09-04,="7401"
2021-09-03,="3954"
2021-09-02,="3573"
2021-09-01,="1876"
2021-08-31,="3105"
2021-08-30,="2456"
2021-08-29,="9940"
2021-08-28,="3159"
2021-08-27,="1261"
2021-08-26,="0102"
2021-08-25,="6107"
2021-08-24,="2509"
2021-08-23,="7856"
2021-08-22,="2314"
2021-08-21,="4596"
2021-08-20,="3753"
2021-08-19,="2733"
2021-08-18,="1399"
2021-08-17,="9853"
2021-08-16,="9760"
2021-08-15,="6502"
2021-08-14,="7717"
2021-08-13,="8500"
2021-08-12,="1554"
2021-08-11,="5556"
2021-08-10,="1003"
2021-08-09,="0568"
2021-08-08,="4573"
2021-08-07,="7058"
2021-08-06,="1440"
2021-08-05,="5596"
2021-08-04,="1772"
2021-08-03,="2485"
2021-08-02,="8723"
2021-08-01,="1270"
2021-07-31,="4323"
2021-07-30,="2960"
2021-07-29,="4841"
2021-07-28,="1292"
2021-07-27,="0306"
2021-07-26,="8643"
2021-07-25,="5331"
2021-07-24,="5119"
2021-07-23,="0072"
2021-07-22,="2613"
2021-07-21,="1958"
2021-07-20,="9924"
2021-07-19,="4934"
2021-07-18,="4542"
2021-07-17,="2155"
2021-07-16,="5557"
2021-07-15,="3793"
2021-07-14,="8843"
2021-07-13,="8096"
2021-07-12,="7378"
2021-07-11,="1706"
2021-07-10,="2910"
2021-07-09,="4776"
2021-07-08,="1056"
2021-07-07,="2961"
2021-07-06,="9194"
2021-07-05,="5112"
2021-07-04,="3509"
2021-07-03,="1139"
2021-07-02,="5120"
2021-07-01,="9210"
2021-06-30,="9330"
2021-06-29,="1845"
2021-06-28,="1712"
2021-06-27,="6975"
2021-06-26,="0454"
2021-06-25,="1947"
2021-06-24,="7804"
2021-06-23,="0535"
2021-06-22,="5689"
2021-06-21,="7572"
2021-06-20,="3621"
2021-06-19,="4363"
2021-06-18,="6438"
2021-06-17,="0344"
2021-06-16,="4760"
2021-06-15,="1116"
2021-06-14,="6310"
2021-06-13,="4898"
2021-06-12,="7067"
2021-06-11,="4019"
2021-06-10,="2769"
2021-06-09,="4370"
2021-06-08,="3451"
2021-06-07,="3910"
2021-06-06,="2950"
2021-06-05,="4841"
2021-06-04,="9610"
2021-06-03,="2092"
2021-06-02,="6818"
2021-06-01,="7455"
2021-05-31,="1204"
2021-05-30,="9446"
2021-05-29,="6469"
2021-05-28,="6811"
2021-05-27,="0337"
2021-05-26,="6659"
2021-05-25,="2397"
2021-05-24,="2088"
2021-05-23,="2052"
2021-05-22,="1455"
2021-05-21,="7271"
2021-05-20,="0846"
2021-05-19,="0433"
2021-05-18,="7997"
2021-05-17,="7763"
2021-05-16,="2753"
2021-05-15,="2344"
2021-05-14,="8310"
2021-05-13,="3750"
2021-05-12,="7174"
2021-05-11,="1527"
2021-05-10,="3012"
2021-05-09,="9568"
2021-05-08,="5280"
2021-05-07,="6409"
2021-05-06,="5981"
2021-05-05,="9411"
2021-05-04,="5374"
2021-05-03,="7512"
2021-05-02,="8544"
2021-05-01,="5511"
2021-04-30,="4612"
2021-04-29,="2357"
2021-04-28,="6424"
2021-04-27,="9325"
2021-04-26,="4613"
2021-04-25,="8966"
2021-04-24,="9741"
2021-04-23,="0302"
2021-04-22,="5243"
2021-04-21,="7978"
2021-04-20,="3154"
2021-04-19,="5922"
2021-04-18,="9666"
2021-04-17,="7570"
2021-04-16,="6290"
2021-04-15,="8049"
2021-04-14,="8059"
2021-04-13,="8223"
2021-04-12,="3232"
2021-04-11,="8231"
2021-04-10,="8851"
2021-04-09,="1151"
2021-04-08,="5594"
2021-04-07,="2032"
2021-04-06,="7730"
2021-04-05,="9906"
2021-04-04,="4485"
2021-04-03,="4602"
2021-04-02,="3716"
2021-04-01,="5093"
2021-03-31,="2042"
2021-03-30,="2446"
2021-03-29,="9813"
2021-03-28,="0873"
2021-03-27,="8664"
2021-03-26,="9131"
2021-03-25,="5940"
2021-03-24,="6607"
2021-03-23,="4437"
2021-03-22,="9656"
2021-03-21,="4852"
2021-03-20,="8224"
2021-03-19,="1114"
2021-03-18,="6957"
2021-03-17,="5852"
2021-03-16,="6080"
2021-03-15,="1262"
2021-03-14,="1824"
2021-03-13,="3847"
2021-03-12,="2860"
2021-03-11,="7295"
2021-03-10,="1449"
2021-03-09,="8807"
2021-03-08,="9450"
2021-03-07,="9791"
2021-03-06,="2597"
2021-03-05,="7390"
2021-03-04,="4053"
2021-03-03,="5506"
2021-03-02,="9570"
2021-03-01,="9708"
2021-02-28,="7271"
2021-02-27,="4909"
2021-02-26,="1329"
2021-02-25,="1375"
2021-02-24,="0789"
2021-02-23,="1751"
2021-02-22,="7250"
2021-02-21,="9547"
2021-02-20,="6871"
2021-02-19,="0079"
2021-02-18,="3537"
2021-02-17,="4800"
2021-02-16,="9308"
2021-02-15,="5634"
2021-02-14,="2165"
2021-02-13,="6677"
2021-02-12,="9131"
2021-02-11,="2045"
2021-02-10,="2299"
2021-02-09,="6471"
2021-02-08,="8304"
2021-02-07,="9810"
2021-02-06,="5899"
2021-02-05,="6596"
2021-02-04,="8389"
2021-02-03,="0103"
2021-02-02,="6918"
2021-02-01,="1011"
2021-01-31,="0403"
2021-01-30,="2137"
2021-01-29,="7838"
2021-01-28,="6681"
2021-01-27,="7311"
2021-01-26,="3104"
2021-01-25,="2493"
2021-01-24,="1185"
2021-01-23,="7510"
2021-01-22,="7060"
2021-01-21,="1475"
2021-01-20,="3310"
2021-01-19,="5731"
2021-01-18,="8924"
2021-01-17,="2530"
2021-01-16,="2754"
2021-01-15,="5883"
2021-01-14,="2511"
2021-01-13,="2749"
2021-01-12,="1648"
2021-01-11,="4320"
2021-01-10,="6607"
2021-01-09,="7436"
2021-01-08,="2681"
2021-01-07,="0511"
2021-01-06,="6389"
2021-01-05,="2865"
2021-01-04,="3421"
2021-01-03,="1514"
2021-01-02,="8276"
2021-01-01,="6276"
