date,day,evening
2022-07-07,Thursday,="2068"
2022-07-08,Friday,="1154"
2022-07-09,Saturday,="9288"
2022-07-10,Sunday,="6756"
2022-07-11,Monday,="9531"
2022-07-12,Tuesday,="9266"
2022-07-13,Wednesday,="8009"
2022-07-14,Thursday,="4118"
2022-07-15,Friday,="3320"
2022-07-16,Saturday,="4245"
2022-07-17,Sunday,="3435"
2022-07-18,Monday,="0096"
2022-07-19,Tuesday,="0647"
2022-07-20,Wednesday,="1713"
2022-07-21,Thursday,="3244"
2022-07-22,Friday,="6351"
2022-07-23,Saturday,="2149"
2022-07-24,Sunday,="8356"
2022-07-25,Monday,="4136"
2022-07-26,Tuesday,="9098"
2022-07-27,Wednesday,="1450"
2022-07-28,Thursday,="7274"
2022-07-29,Friday,="5822"
2022-07-30,Saturday,="2970"
2022-07-31,Sunday,="9034"
2022-08-01,Monday,="1921"
2022-08-02,Tuesday,="2306"
2022-08-03,Wednesday,="0250"
2022-08-04,Thursday,="2621"
2022-08-05,Friday,="4366"
2022-08-06,Saturday,="4946"
2022-08-07,Sunday,="9594"
2022-08-08,Monday,="6719"
2022-08-09,Tuesday,="3639"
2022-08-10,Wednesday,="7486"
2022-08-11,Thursday,="4055"
2022-08-12,Friday,="9970"
2022-08-13,Saturday,="0094"
2022-08-14,Sunday,="6414"
2022-08-15,Monday,="2751"
2022-08-16,Tuesday,="1316"
2022-08-17,Wednesday,="1884"
2022-08-18,Thursday,="9444"
2022-08-19,Friday,="1456"
2022-08-20,Saturday,="7297"
2022-08-21,Sunday,="0158"
2022-08-22,Monday,="5849"
2022-08-23,Tuesday,="3298"
2022-08-24,Wednesday,="4312"
2022-08-25,Thursday,="8757"
2022-08-26,Friday,="8111"
2022-08-27,Saturday,="5525"
2022-08-28,Sunday,="6588"
2022-08-29,Monday,="9306"
2022-08-30,Tuesday,="7941"
2022-08-31,Wednesday,="4236"
2022-09-01,Thursday,="9154"
2022-09-02,Friday,="6124"
2022-09-03,Saturday,="5344"
2022-09-04,Sunday,="7162"
2022-09-05,Monday,="2622"
2022-09-06,Tuesday,="3319"
2022-09-07,Wednesday,="8663"
2022-09-08,Thursday,="2635"
2022-09-09,Friday,="2752"
2022-09-10,Saturday,="8311"
2022-09-11,Sunday,="9484"
2022-09-12,Monday,="2442"
2022-09-13,Tuesday,="7232"
2022-09-14,Wednesday,="4249"
2022-09-15,Thursday,="2740"
2022-09-16,Friday,="2088"
2022-09-17,Saturday,="2287"
2022-09-18,Sunday,="6080"
2022-09-19,Monday,="2405"
2022-09-20,Tuesday,="9678"
2022-09-21,Wednesday,="1074"
2022-09-22,Thursday,="0816"
2022-09-23,Friday,="9491"
2022-09-24,Saturday,="2428"
2022-09-25,Sunday,="3664"
2022-09-26,Monday,="0316"
2022-09-27,Tuesday,="6714"
2022-09-28,Wednesday,="3134"
2022-09-29,Thursday,="5016"
2022-09-30,Friday,="0909"
2022-10-01,Saturday,="5757"
2022-10-02,Sunday,="9338"
2022-10-03,Monday,="5016"
2022-10-04,Tuesday,="8056"
2022-10-05,Wednesday,="3873"
2022-10-06,Thursday,="4380"
2022-10-07,Friday,="9037"
2022-10-08,Saturday,="3347"
2022-10-09,Sunday,="9579"
2022-10-10,Monday,="0403"
2022-10-11,Tuesday,="2993"
2022-10-12,Wednesday,="0421"
2022-10-13,Thursday,="1844"
2022-10-14,Friday,="0243"
2022-10-15,Saturday,="8756"
2022-10-16,Sunday,="7897"
2022-10-17,Monday,="3030"
2022-10-18,Tuesday,="1815"
2022-10-19,Wednesday,="2248"
2022-10-20,Thursday,="6225"
2022-10-21,Friday,="2226"
2022-10-22,Saturday,="8288"
2022-10-23,Sunday,="7008"
2022-10-24,Monday,="7088"
2022-10-25,Tuesday,="8545"
2022-10-26,Wednesday,="0654"
2022-10-27,Thursday,="8129"
2022-10-28,Friday,="1917"
2022-10-29,Saturday,="8661"
2022-10-30,Sunday,="9058"
2022-10-31,Monday,="3581"
2022-11-01,Tuesday,="6904"
2022-11-02,Wednesday,="4147"
2022-11-03,Thursday,="5285"
2022-11-04,Friday,="7824"
2022-11-05,Saturday,="3085"
2022-11-06,Sunday,="5858"
2022-11-07,Monday,="6943"
2022-11-08,Tuesday,="7009"
2022-11-09,Wednesday,="5332"
2022-11-10,Thursday,="5630"
