Year,Month,Day,DayName,midday,evening 
2021,6,26,Saturday,0454,2100
2021,6,27,Sunday,6975,5048
2021,6,28,Monday,1712,0539
2021,6,29,Tuesday,1845,7528
2021,6,30,Wednesday,9330,6612
2021,7,1,Thursday,9210,8371
2021,7,2,Friday,5120,3168
2021,7,3,Saturday,1139,4672
2021,7,4,Sunday,3509,5843
2021,7,5,Monday,5112,5418
2021,7,6,Tuesday,9194,6778
2021,7,7,Wednesday,2961,9991
2021,7,8,Thursday,1056,9906
2021,7,9,Friday,4776,5780
2021,7,10,Saturday,2910,8530
2021,7,11,Sunday,1706,6224
2021,7,12,Monday,7378,9860
2021,7,13,Tuesday,8096,0488
2021,7,14,Wednesday,8843,7278
2021,7,15,Thursday,3793,9327
2021,7,16,Friday,5557,1643
2021,7,17,Saturday,2155,1309
2021,7,18,Sunday,4542,9932
2021,7,19,Monday,4934,4649
2021,7,20,Tuesday,9924,6395
2021,7,21,Wednesday,1958,4029
2021,7,22,Thursday,2613,4666
2021,7,23,Friday,0072,6668
2021,7,24,Saturday,5119,7572
2021,7,25,Sunday,5331,2985
2021,7,26,Monday,8643,1098
2021,7,27,Tuesday,0306,1623
2021,7,28,Wednesday,1292,4317
2021,7,29,Thursday,4841,9367
2021,7,30,Friday,2960,7425
2021,7,31,Saturday,4323,4683
2021,8,1,Sunday,1270,6088
2021,8,2,Monday,8723,4393
2021,8,3,Tuesday,2485,4147
2021,8,4,Wednesday,1772,0916
2021,8,5,Thursday,5596,6387
2021,8,6,Friday,1440,5394
2021,8,7,Saturday,7058,4957
2021,8,8,Sunday,4573,8983
2021,8,9,Monday,0568,5331
2021,8,10,Tuesday,1003,5611
2021,8,11,Wednesday,5556,6931
2021,8,12,Thursday,1554,5361
2021,8,13,Friday,8500,2868
2021,8,14,Saturday,7717,9382
2021,8,15,Sunday,6502,4512
2021,8,16,Monday,9760,5989
2021,8,17,Tuesday,9853,0479
2021,8,18,Wednesday,1399,4525
2021,8,19,Thursday,2733,5369
2021,8,20,Friday,3753,6045
2021,8,21,Saturday,4596,0824
2021,8,22,Sunday,2314,7050
2021,8,23,Monday,7856,3846
2021,8,24,Tuesday,2509,3096
2021,8,25,Wednesday,6107,4725
2021,8,26,Thursday,0102,8240
2021,8,27,Friday,1261,4448
2021,8,28,Saturday,3159,3868
2021,8,29,Sunday,9940,0118
2021,8,30,Monday,2456,7167
2021,8,31,Tuesday,3105,3537
2021,9,1,Wednesday,1876,4619
2021,9,2,Thursday,3573,0563
2021,9,3,Friday,3954,3915
2021,9,4,Saturday,7401,4259
2021,9,5,Sunday,3099,7216
2021,9,6,Monday,8015,1910
2021,9,7,Tuesday,3754,2926
2021,9,8,Wednesday,7320,5296
2021,9,9,Thursday,9126,0254
2021,9,10,Friday,9833,8237
2021,9,11,Saturday,8999,9944
2021,9,12,Sunday,9079,1634
2021,9,13,Monday,7140,2270
2021,9,14,Tuesday,3849,6100
2021,9,15,Wednesday,0022,7977
2021,9,16,Thursday,0693,2311
2021,9,17,Friday,8854,3140
2021,9,18,Saturday,7361,5613
2021,9,19,Sunday,6229,3623
2021,9,20,Monday,3493,7111
2021,9,21,Tuesday,0702,6137
2021,9,22,Wednesday,3091,2729
2021,9,23,Thursday,9143,6383
2021,9,24,Friday,3277,3094
2021,9,25,Saturday,0649,4999
2021,9,26,Sunday,5368,4556
