date,midday
31-12-2022,3898
01-01-2023,0378
02-01-2023,7784
03-01-2023,4204
04-01-2023,0088
05-01-2023,6059
06-01-2023,7800
07-01-2023,4533
08-01-2023,7411
09-01-2023,4058
10-01-2023,9197
11-01-2023,1881
12-01-2023,9488
13-01-2023,5654
14-01-2023,8534
15-01-2023,6415
16-01-2023,7108
17-01-2023,8882
18-01-2023,4827
19-01-2023,9382
20-01-2023,8463
21-01-2023,6093
22-01-2023,0107
23-01-2023,5439
24-01-2023,9422
25-01-2023,2033
26-01-2023,3120
27-01-2023,9377
28-01-2023,6979
29-01-2023,7966
30-01-2023,3201
31-01-2023,2644
01-02-2023,9631
02-02-2023,0120
03-02-2023,3338
04-02-2023,2219
05-02-2023,6390
06-02-2023,5433
07-02-2023,4467
08-02-2023,5543
09-02-2023,7577
10-02-2023,7510
11-02-2023,1239
12-02-2023,5376
13-02-2023,7757
14-02-2023,6436
15-02-2023,1148
16-02-2023,6636
17-02-2023,1905
18-02-2023,9993
19-02-2023,5305
20-02-2023,3333
21-02-2023,0173
22-02-2023,5120
23-02-2023,5941
24-02-2023,2827
25-02-2023,4343
26-02-2023,4036
27-02-2023,1043
28-02-2023,5112
01-03-2023,5563
02-03-2023,8860
03-03-2023,5627
04-03-2023,3435
05-03-2023,4048
06-03-2023,3678
07-03-2023,6587
08-03-2023,3077
09-03-2023,5010
10-03-2023,0616
11-03-2023,8560
12-03-2023,6144
13-03-2023,4374
14-03-2023,1109
15-03-2023,3189
16-03-2023,7166
17-03-2023,1452
18-03-2023,7941
19-03-2023,2909
20-03-2023,9738
21-03-2023,5429
22-03-2023,5564
23-03-2023,8909
24-03-2023,5563
25-03-2023,6228
26-03-2023,3971
27-03-2023,3484
28-03-2023,5955
29-03-2023,9959
30-03-2023,7826
31-03-2023,0869
01-04-2023,8581
02-04-2023,2827
03-04-2023,9958
04-04-2023,3562
05-04-2023,0195
06-04-2023,7052
07-04-2023,7727
08-04-2023,7748
09-04-2023,8308
10-04-2023,2067
11-04-2023,7614
12-04-2023,9155
13-04-2023,6513
14-04-2023,2812
15-04-2023,1438
16-04-2023,3883
17-04-2023,1660
18-04-2023,5431
19-04-2023,6708
20-04-2023,2373
21-04-2023,9863
22-04-2023,7797
23-04-2023,9536
24-04-2023,8540
25-04-2023,7417
26-04-2023,8595
27-04-2023,5189
28-04-2023,4863
29-04-2023,4117
30-04-2023,2631
01-05-2023,5200
02-05-2023,2225
03-05-2023,0856
04-05-2023,8174
05-05-2023,5404
06-05-2023,7151
07-05-2023,6359
08-05-2023,1879
09-05-2023,8243
10-05-2023,2927
11-05-2023,2840
12-05-2023,3370
13-05-2023,8715
14-05-2023,7635
15-05-2023,0288
16-05-2023,3585
17-05-2023,5407
18-05-2023,1487
19-05-2023,3331
20-05-2023,5263
21-05-2023,6733
22-05-2023,9534
23-05-2023,7617
24-05-2023,1545
25-05-2023,8663
26-05-2023,2409
27-05-2023,7583
28-05-2023,6243
29-05-2023,1252
30-05-2023,7438
31-05-2023,5000
01-06-2023,0708
02-06-2023,0684
03-06-2023,5945
04-06-2023,9407
05-06-2023,6008
06-06-2023,8144
07-06-2023,6525
08-06-2023,0559
09-06-2023,6515
10-06-2023,6175
11-06-2023,2250
12-06-2023,1623
13-06-2023,5752
14-06-2023,4709
15-06-2023,4954
16-06-2023,6616
17-06-2023,8828
18-06-2023,2502
19-06-2023,9828
20-06-2023,8268
21-06-2023,5154
22-06-2023,1909
23-06-2023,2340
24-06-2023,0043
25-06-2023,9820
26-06-2023,6719
27-06-2023,4211
28-06-2023,8850
29-06-2023,9970
30-06-2023,9104
01-07-2023,2226
02-07-2023,5396
03-07-2023,1906
04-07-2023,0892
05-07-2023,2965
06-07-2023,0533
07-07-2023,3818
08-07-2023,5836
09-07-2023,9568
10-07-2023,8371
11-07-2023,8264
12-07-2023,9772
13-07-2023,3868
14-07-2023,6016
15-07-2023,6969
16-07-2023,6268
17-07-2023,4144
18-07-2023,8418
19-07-2023,0354
20-07-2023,2876
21-07-2023,1505
22-07-2023,3966
23-07-2023,3933
24-07-2023,8280
25-07-2023,7591
26-07-2023,4748
27-07-2023,5638
28-07-2023,9991
29-07-2023,3636
30-07-2023,3030
31-07-2023,2605
01-08-2023,5013
02-08-2023,2856
03-08-2023,9550
04-08-2023,1950
05-08-2023,1321
06-08-2023,5587
07-08-2023,0935
08-08-2023,1951
09-08-2023,4601
10-08-2023,9405
11-08-2023,2229
