date_iso,year,month,day,day_name,draw_type,number,updated_at_local
2026-02-21,2026,2,21,Saturday,EVENING,5774,2026-02-22 16:20:20 EST
2026-02-22,2026,2,22,Sunday,MIDDAY,4785,2026-02-22 16:20:20 EST
